Hotel Name,Star Rating,City,Country,Region,Distance from Toronto (km),Price per Night (USD)
The Fairmont Royal York,5,Toronto,Canada,North America,0,450
Niagara Parkway Hotel,4,Niagara Falls,Canada,North America,120,220
The Delta Hotels by Marriott,4,Montreal,Canada,North America,330,280
Banff Springs Hotel,5,Banff,Canada,North America,2150,380
Hotel Vancouver,5,Vancouver,Canada,North America,3300,420
The Ritz-Carlton Montreal,5,Montreal,Canada,North America,330,520
Chateau Lake Louise,5,Lake Louise,Canada,North America,2200,450
Tremblant Resort,4,Tremblant,Canada,North America,550,320
Prince of Wales Hotel,4,Waterton,Canada,North America,2050,280
Kelowna Prestige Hotel,4,Kelowna,Canada,North America,2900,260
The Plaza Hotel,5,New York City,USA,North America,560,550
The Beverly Hilton,5,Los Angeles,USA,North America,3400,480
The Ritz-Carlton San Francisco,5,San Francisco,USA,North America,3500,520
Four Seasons Resort Maui,5,Wailea,USA,North America,5100,650
The Fairmont Scottsdale Princess,5,Scottsdale,USA,North America,2900,420
Park Hyatt Miami,5,Miami,USA,North America,1800,380
The Broadmoor,5,Colorado Springs,USA,North America,2400,350
Bellagio Las Vegas,5,Las Vegas,USA,North America,3000,420
The Ritz-Carlton Chicago,5,Chicago,USA,North America,900,480
JW Marriott Phoenix,5,Phoenix,USA,North America,2850,400
The Grand Hotel Brighton,4,Brighton,UK,Europe,5300,320
The Ritz Hotel London,5,London,UK,Europe,5400,580
Claridge's Hotel,5,London,UK,Europe,5400,560
The Savoy London,5,London,UK,Europe,5400,540
Four Seasons Hotel Paris,5,Paris,France,Europe,5700,620
Le Meurice Paris,5,Paris,France,Europe,5700,600
Hôtel de Crillon,5,Paris,France,Europe,5700,580
Badrutt's Palace St Moritz,5,St. Moritz,Switzerland,Europe,6100,750
Kulm Hotel St Moritz,5,St. Moritz,Switzerland,Europe,6100,700
Chedi Andermatt,5,Andermatt,Switzerland,Europe,6200,650
Villa d'Este Como,5,Como,Italy,Europe,6300,720
The Gritti Palace Venice,5,Venice,Italy,Europe,6400,680
Cipriani Venice,5,Venice,Italy,Europe,6400,700
Hotel Danieli Venice,4,Venice,Italy,Europe,6400,520
Rocco Forte Villa D'Este,5,Como,Italy,Europe,6300,690
Belmond Villa San Michele,5,Florence,Italy,Europe,6450,640
Hotel Savoy Florence,5,Florence,Italy,Europe,6450,580
Excelsior Rome,5,Rome,Italy,Europe,6500,620
The Hassler Roma,5,Rome,Italy,Europe,6500,600
Hotel de la Paz,4,Rome,Italy,Europe,6500,280
Mandarin Oriental Barcelona,5,Barcelona,Spain,Europe,5900,520
Hotel Arts Barcelona,5,Barcelona,Spain,Europe,5900,480
The Ritz Barcelona,5,Barcelona,Spain,Europe,5900,460
Mercer Hotel Barcelona,4,Barcelona,Spain,Europe,5900,380
Casa Camper Barcelona,3,Barcelona,Spain,Europe,5900,220
Palacio de Moncada,4,Madrid,Spain,Europe,5800,340
Hotel Ritz Madrid,5,Madrid,Spain,Europe,5800,540
Adlon Kempinski Berlin,5,Berlin,Germany,Europe,6000,480
Hotel de Rome Berlin,5,Berlin,Germany,Europe,6000,520
Brenner's Park Hotel Baden-Baden,5,Baden-Baden,Germany,Europe,6100,620
Vier Jahreszeiten Hamburg,5,Hamburg,Germany,Europe,6050,500
Hotel Taschenbergpalais Dresden,5,Dresden,Germany,Europe,6200,420
Amsterdam's Best Hotels,5,Amsterdam,Netherlands,Europe,5850,460
Waldorf Astoria Amsterdam,5,Amsterdam,Netherlands,Europe,5850,520
Pulitzer Amsterdam,4,Amsterdam,Netherlands,Europe,5850,380
The Dylan Amsterdam,4,Amsterdam,Netherlands,Europe,5850,340
Grand Hotel Stockholm,5,Stockholm,Sweden,Europe,6250,480
Hotel Esplanade Stockholm,4,Stockholm,Sweden,Europe,6250,380
Hotel Diplomat Stockholm,4,Stockholm,Sweden,Europe,6250,340
Sofitel Grand Sopot,4,Sopot,Poland,Europe,6150,280
Copacabana Palace,5,Rio de Janeiro,Brazil,South America,7900,420
Belmond Copacabana Palace,5,Rio de Janeiro,Brazil,South America,7900,480
Hotel Fasano Rio,5,Rio de Janeiro,Brazil,South America,7900,460
Emiliano Hotel Rio,4,Rio de Janeiro,Brazil,South America,7900,320
Pestana Rio Atlantica,4,Rio de Janeiro,Brazil,South America,7900,280
Hyatt Centric São Paulo,4,São Paulo,Brazil,South America,8100,340
Unique Hotel São Paulo,5,São Paulo,Brazil,South America,8100,420
Tivoli São Paulo,4,São Paulo,Brazil,South America,8100,300
Alvear Palace Hotel,5,Buenos Aires,Argentina,South America,8600,520
Fierro Hotel Buenos Aires,4,Buenos Aires,Argentina,South America,8600,360
Fierro Buenos Aires,4,Buenos Aires,Argentina,South America,8600,350
Home Hotel Buenos Aires,4,Buenos Aires,Argentina,South America,8600,380
Fierro Buenos Aires Boutique,3,Buenos Aires,Argentina,South America,8600,240
The Singular Santiago,5,Santiago,Chile,South America,8900,420
Singular Santiago,5,Santiago,Chile,South America,8900,400
Lastarria Boutique Hotel,4,Santiago,Chile,South America,8900,300
Belmond Hotel Monasterio,5,Cusco,Peru,South America,9200,480
Sanctuary Lodge Machu Picchu,5,Aguas Calientes,Peru,South America,9400,520
Peruvian Hotel Cusco,3,Cusco,Peru,South America,9200,180
Andean Explorer Luxury Train,5,Cusco,Peru,South America,9200,560
Mallorca Hotel,3,La Paz,Bolivia,South America,9800,160
Las Olas Beach Resort,4,Cartagena,Colombia,South America,7400,320
Charleston Santa Cartagena,4,Cartagena,Colombia,South America,7400,380
Angsana Laguna Phuket,4,Phuket,Thailand,Asia,11200,220
Banyan Tree Phuket,5,Phuket,Thailand,Asia,11200,480
Hilton Phuket Arcadia Resort,4,Phuket,Thailand,Asia,11200,260
Centara Grand Krabi,5,Krabi,Thailand,Asia,11300,380
Amanpuri Resort,5,Phuket,Thailand,Asia,11200,620
